No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
区分,データ取得日,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブリバーサル,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,スタン,スタン,投げ,投げ,投げ,壁際,壁際,プレイ回数,プレイ回数,プレイ回数,プレイ回数,プレイポイント
項目,データ取得日,プレイヤー名,リーグポイント,ランク,MR,ドライブパリィ,ドライブインパクト,オーバードライブアーツ,パリィドライブラッシュ,キャンセルドライブラッシュ,ドライブリバーサル,ダメージ,使用回数,成功回数,相手のドライブパリィを投げた,自分のドライブパリィを投げられた,ジャストパリィ回数,決めた回数,パニッシュカウンターを決めた回数,相手のドライブインパクトに決めた回数,受けた回数,パニッシュカウンターを受けた回数,相手にドライブインパクトで返された回数,Lv1,Lv2,Lv3,CA,スタンさせた回数,スタンさせられた回数,決めた回数,受けた回数,投げ抜け回数,相手を追い詰めている時間,相手に追い詰められている時間,ランクマッチプレイ回数,カジュアルマッチプレイ回数,ルームマッチプレイ回数,バトルハブマッチプレイ回数,累計プレイポイント
単位,日付,テキスト,数値,テキスト,数値,割合,割合,割合,割合,割合,割合,割合,回,回,回,回,回,回,回,回,回,回,回,割合,割合,割合,割合,回,回,回,回,回,秒,秒,回,回,回,回,数値
63,2026/3/14,GjijiiG,864802,ULTIMATE,2196,16.79%,1.91%,23.62%,13.57%,21.50%,2.43%,20.16%,0.3,0.9,0.5,0.2,0.2,0.1,0,0,0.1,0.1,0,28.42%,27.36%,34.73%,9.47%,0.2,0,2.1,2.3,0.8,11.8,6.6,55970,511,12129,4141,2027099
64,2026/3/14,Dual_Kevin,613406,ULTIMATE,2191,11.17%,0.79%,17.79%,5.48%,27.88%,3.90%,32.95%,0.5,1.8,0.3,0.2,0.9,0.1,0,0,0.2,0.1,0,29.00%,51.00%,15.00%,5.00%,0,0.1,2,2.5,0.4,14.5,10.3,16256,18,23173,208,742484
65,2026/3/14,Cedric,81674,ULTIMATE,2188,9.06%,2.33%,23.34%,4.34%,34.90%,0.00%,26.01%,0,1.5,0.5,0,0.6,0.3,0.2,0.1,0.1,0.1,0,76.28%,4.63%,16.49%,2.57%,0,0,6.3,2.7,2.2,17,5.8,1873,0,85,0,56546
66,2026/3/14,あくたがわ,239282,ULTIMATE,2188,8.46%,1.48%,22.31%,3.68%,40.07%,1.66%,22.31%,0.2,1.6,0.2,0.1,0.7,0.2,0.1,0,0.1,0,0,24.50%,7.84%,53.92%,13.72%,0,0,2.2,1.5,0.5,13.6,6.1,57852,398,7504,4264,2040241
67,2026/3/14,光のZeno,471426,ULTIMATE,2187,15.65%,2.50%,32.10%,9.28%,22.69%,0.83%,16.91%,0.1,2.3,0.5,0.2,0.7,0.3,0.1,0,0.1,0.1,0,9.55%,82.35%,8.08%,0.00%,0.3,0,3.4,1.5,0.2,17,8.4,9210,838,39516,1426,831548
68,2026/3/14,ACR Ayasaka,611263,ULTIMATE,2184,22.99%,1.63%,14.07%,13.02%,21.47%,2.29%,24.49%,0.3,2.8,0.2,0.3,1.2,0.3,0.1,0,0.2,0.1,0,46.72%,12.14%,35.51%,5.60%,0,0.1,1.8,2.2,0.3,12.2,11.2,5281,0,545,9,166077
69,2026/3/14,ナショナル動かせ,559321,ULTIMATE,2180,11.07%,0.84%,21.37%,4.78%,35.07%,1.31%,25.51%,0.2,2,0.1,0.1,1,0.1,0.1,0,0.1,0,0,21.53%,10.76%,49.23%,18.46%,0,0,1.8,2.4,0.8,13,8.5,37913,427,11026,411,1314053
70,2026/3/14,susa,813067,ULTIMATE,2175,10.84%,1.81%,28.27%,6.90%,31.15%,0.74%,20.26%,0.1,1.3,0.4,0.2,0.1,0.2,0.1,0,0.2,0.1,0.1,35.91%,52.11%,7.74%,4.22%,0.1,0.1,2.7,1.5,0.1,10.3,10.1,15153,4372,5825,1772,791461
71,2026/3/14,tako956402,822651,ULTIMATE,2242,15.93%,0.65%,16.83%,8.32%,39.50%,0.65%,18.08%,0.1,2,0.3,0.2,0.8,0.1,0.1,0,0.1,0,0,30.57%,15.70%,47.93%,5.78%,0,0,3.5,2.2,0.4,16.6,7.4,46096,528,4436,691,1520478
72,2026/3/14,さうたむ | 3S,990441,ULTIMATE,2210,11.91%,2.26%,9.69%,6.55%,46.63%,1.23%,21.69%,0.2,1.6,0.2,0.3,0.7,0.3,0.2,0.1,0.1,0.1,0.1,45.90%,16.39%,27.04%,10.65%,0.1,0.1,3,2.3,0.7,13.4,8.3,121414,523,6696,10246,4163287
73,2026/3/14,enigma,19785,DIAMOND1,0,17.26%,2.90%,28.41%,8.99%,18.14%,0.30%,23.97%,0,2.2,0.2,0.4,1.1,0.4,0.3,0.2,0.3,0.2,0.1,36.48%,20.27%,25.67%,17.56%,0.1,0.1,1.9,2.7,0.8,9.2,11.8,19471,74,7684,2538,810536
74,2026/3/14,nao999q,163851,GRAND,1765,10.24%,1.55%,25.04%,5.26%,38.76%,0.48%,18.63%,0.1,2,0.2,0.1,0.5,0.2,0.1,0.1,0.2,0.1,0,21.05%,17.89%,44.21%,16.84%,0.1,0,2.4,1.6,0.2,12.2,7.7,39313,67,7187,1285,1337751
75,2026/3/14,Hurricane,1144704,MASTER,0,5.11%,2.12%,13.60%,2.24%,51.88%,1.46%,23.57%,0.2,0.9,0.1,0.2,0.2,0.2,0.1,0,0.2,0.1,0.1,33.63%,14.54%,43.63%,8.18%,0.1,0.1,2.7,2.4,0.3,11.6,13.4,65398,1,10180,53,2064742
76,2026/3/14,RocksteadyBR,973525,ULTIMATE,1854,12.10%,6.36%,32.52%,5.95%,20.69%,3.12%,19.23%,0.4,1.9,0.4,0.2,0.3,0.6,0.3,0.1,0.3,0.1,0.1,33.33%,63.52%,1.88%,1.25%,0.2,0.1,2.5,1.3,0.3,12.7,8.1,72785,1,7949,689,2304816
77,2026/3/14,Ctown88,949323,MASTER,0,16.17%,3.69%,37.20%,10.89%,12.22%,0.00%,19.80%,0,1.9,0.2,0.1,0.2,0.4,0.2,0.1,0.1,0.1,0,23.91%,17.39%,53.26%,5.43%,0.1,0,1.7,1.2,0.4,15.5,3.6,43023,6277,269,3060,1653013
78,2026/3/14,Broski,948194,ULTIMATE,2121,15.75%,2.37%,13.30%,9.38%,28.73%,3.64%,26.80%,0.4,1.9,0.2,0.3,0.4,0.3,0.2,0.1,0.3,0.3,0,42.39%,13.04%,34.78%,9.78%,0.1,0,1.9,2.2,0.7,8.1,13.2,49914,0,4864,215,1575050
79,2026/3/14,tomorock21,934105,ULTIMATE,2153,16.16%,1.33%,23.66%,10.62%,23.24%,0.91%,24.04%,0.1,1.6,0.2,0.1,0.3,0.2,0.1,0.1,0.2,0.1,0,50.87%,19.29%,23.68%,6.14%,0.1,0,2.8,2.4,0.6,13.8,9.2,62575,360,4561,544,1980961
80,2026/3/14,taketake-piano,923538,MASTER,0,12.29%,1.84%,50.03%,5.55%,7.02%,0.62%,22.61%,0.1,2.8,0.4,0.3,0.6,0.4,0.1,0,0.2,0.1,0,6.09%,90.24%,2.43%,1.21%,0,0,1.2,2.8,0.7,7.7,21,63340,142,13579,860,2140101
81,2026/3/14,SETHsational,916294,ULTIMATE,1983,13.41%,1.40%,29.35%,9.08%,22.69%,5.34%,18.69%,0.6,1,0.3,0.1,0.3,0.2,0,0,0.2,0.1,0,25.30%,16.86%,43.37%,14.45%,0.1,0,1,1.8,0.5,13,5.8,62720,99,664,21,1810182
82,2026/3/14,Arthuro-Ray,913473,ULTIMATE,1951,11.39%,3.64%,33.75%,5.82%,23.49%,0.41%,21.47%,0,1.9,0.2,0.2,0.3,0.4,0.3,0.1,0.2,0.1,0.1,77.12%,13.29%,6.91%,2.65%,0.1,0.1,2.6,1.6,0.4,13.2,7.8,46108,16,510,0,1387449
83,2026/3/14,Kuma,905401,ULTIMATE,2015,11.37%,3.86%,38.44%,7.02%,20.76%,0.57%,17.95%,0.1,1.9,0.7,0,0.3,0.6,0.4,0.1,0.3,0.2,0.1,20.30%,47.36%,27.06%,5.26%,0.1,0,2,1.5,0.3,7.6,14.2,36926,2,3508,277,1177898
84,2026/3/14,NatsuNashi,893424,ULTIMATE,2096,11.74%,0.65%,23.40%,6.69%,27.27%,0.00%,30.22%,0,1.4,0.3,0.1,0.6,0.1,0,0,0.1,0.1,0,48.19%,16.86%,25.30%,9.63%,0.1,0,2.6,2.6,0.7,13.2,8.1,71436,116,2663,424,2216711
85,2026/3/14,BIG RIG,891520,ULTIMATE,1851,10.41%,5.44%,16.39%,8.03%,35.57%,4.53%,19.60%,0.6,1.1,0.1,0.1,0.1,0.5,0.3,0.1,0.7,0.5,0.2,9.52%,60.00%,26.66%,3.80%,0.2,0.2,2.4,2.2,0.8,9.6,9,76284,142,6197,1417,2443277
86,2026/3/14,noahtheprodigy,632401,ULTIMATE,2065,18.73%,1.61%,14.09%,9.95%,37.78%,0.65%,17.15%,0.1,2.5,0.2,0.3,0.7,0.2,0.1,0,0.2,0.1,0,18.42%,14.47%,52.63%,14.47%,0,0.1,3.1,2.2,0.9,15.5,9.8,44715,16,18059,61,1519128
87,2026/3/14,とす__,885866,ULTIMATE,2121,11.78%,1.44%,25.92%,5.05%,31.70%,1.48%,22.59%,0.2,1.8,0.2,0.2,0.9,0.2,0.2,0.1,0.1,0,0,19.16%,65.00%,12.50%,3.33%,0.1,0,2.6,1.8,0.3,13.9,9.5,48495,128,7423,941,1608212
88,2026/3/14,MIDORI,26086,MASTER,0,16.13%,1.88%,25.41%,9.77%,21.16%,1.84%,23.78%,0.3,1.8,0.3,0.4,0.6,0.2,0.2,0,0.2,0.1,0,37.16%,37.16%,20.35%,5.30%,0.1,0.1,2.4,2.6,0.5,8.7,7.1,66712,433,7557,6842,2505926
89,2026/3/14,NLNL,26178,MASTER,1506,13.26%,1.71%,18.70%,7.28%,30.05%,1.54%,27.42%,0.2,1.3,0.2,0.2,0.8,0.3,0.2,0.1,0.2,0.1,0,26.21%,45.63%,24.27%,3.88%,0,0.1,1.9,2.3,0.4,8.9,9.4,64951,30,7610,252,2101874
90,2026/3/14,kobayan,875812,ULTIMATE,2118,14.70%,2.02%,14.75%,8.88%,29.40%,1.82%,28.39%,0.2,1.7,0.3,0.3,0.4,0.2,0.2,0,0.3,0.2,0.1,23.45%,56.79%,18.51%,1.23%,0.1,0.1,2.5,3.2,0.5,5.4,14.8,38818,7,10834,359,1316248
91,2026/3/14,SnakeEyez,875092,ULTIMATE,2097,13.33%,3.38%,17.63%,8.95%,29.87%,2.28%,24.52%,0.3,1.1,0.2,0.2,0.8,0.4,0.2,0.1,0.3,0.2,0.1,15.21%,60.86%,18.47%,5.43%,0.1,0.1,3,1.9,0.4,4.2,8.9,49438,29,330,2207,1637829
92,2026/3/14,"古来からの""DDT""zunda",873919,ULTIMATE,1896,10.93%,0.88%,15.24%,5.63%,46.16%,0.35%,20.78%,0,1.9,0.2,0.2,0.5,0.1,0,0,0.3,0.1,0,18.08%,30.85%,44.68%,6.38%,0,0.1,3.1,2.1,0.3,13.5,8.7,62530,129,4813,369,1980518
93,2026/3/14,JBJB,872527,ULTIMATE,2139,10.77%,1.39%,16.74%,5.33%,42.60%,1.32%,21.81%,0.2,1.7,0.1,0.1,0.9,0.1,0.1,0,0.2,0.1,0.1,16.00%,73.33%,8.66%,2.00%,0.2,0.1,2.8,1.9,0.3,19.5,6.8,29999,0,14912,174,1078185
94,2026/3/14,JUNINHO-RAS,332028,GRAND,1708,9.42%,1.72%,25.64%,4.69%,40.27%,0.73%,17.50%,0.1,1.3,0.2,0.2,0.8,0.2,0.2,0.1,0.2,0.1,0.1,50.38%,24.42%,20.61%,4.58%,0,0.1,2,1.8,0.5,10.6,9.2,62464,81,8392,145,1971733
95,2026/3/14,激動のマタドール,869117,ULTIMATE,2125,14.47%,0.97%,18.90%,10.01%,26.66%,0.22%,28.74%,0,1.5,0.2,0.1,0.6,0.1,0.1,0.1,0.2,0.1,0,23.07%,54.80%,17.30%,4.80%,0,0,2.7,3.2,0.9,8.5,12.9,79744,146,7660,1322,2567580
96,2026/3/14,HorusPaulin,735651,ULTIMATE,1976,10.39%,3.20%,24.38%,7.17%,36.46%,2.11%,16.26%,0.3,1.4,0.2,0.2,0.3,0.5,0.3,0.1,0.1,0.1,0.1,18.36%,24.48%,47.95%,9.18%,0.1,0,2.3,1.7,0.4,18.6,5.1,63983,11,5339,48,1980373
97,2026/3/14,Augbir,865399,ULTIMATE,1968,13.33%,2.49%,21.92%,9.58%,29.20%,0.67%,22.77%,0.1,0.8,0.4,0.1,0.3,0.3,0.2,0.1,0.4,0.2,0.1,40.90%,2.27%,45.45%,11.36%,0.1,0.1,1.7,2.1,0.4,10.9,7.9,48537,208,344,0,1466869
98,2026/3/14,レオ＿00,864548,ULTIMATE,2115,11.24%,3.59%,19.92%,7.20%,32.55%,2.90%,22.58%,0.4,1.2,0.3,0.2,0.3,0.4,0.3,0.1,0.4,0.3,0.1,15.83%,68.33%,11.66%,4.16%,0.1,0,3.2,1.8,0.5,14.7,7.8,89956,21,2086,1421,2804127
99,2026/3/14,えびはら,862698,ULTIMATE,2156,12.34%,0.74%,17.14%,5.43%,36.94%,1.79%,25.58%,0.2,2.3,0.2,0.1,1.2,0.1,0,0,0.2,0.1,0,28.70%,51.85%,17.59%,1.85%,0,0.1,3.1,2.1,0.5,10.4,9.4,37263,16,10377,9248,1685210
100,2026/3/14,thebeluvdtrex,860739,GRAND,1731,10.65%,1.15%,26.01%,2.96%,25.55%,5.18%,28.46%,0.6,1.8,0.3,0.5,0.5,0.1,0,0,0.2,0.1,0,39.34%,18.03%,36.88%,5.73%,0.1,0,3.6,2.7,0.2,13.5,9.4,65417,340,0,99,1963568
101,2026/3/14,うにめる,858381,ULTIMATE,1958,19.18%,1.83%,16.43%,11.27%,23.33%,1.48%,26.44%,0.2,2,0.2,0.3,0.7,0.2,0.1,0,0.2,0.1,0.1,22.00%,18.00%,42.00%,18.00%,0.1,0,2,1.9,0.3,14.4,9.1,43454,68,2423,65,1337135
102,2026/3/14,Meg5,851479,ULTIMATE,2171,13.37%,2.12%,19.00%,7.91%,36.82%,2.99%,17.76%,0.4,2.1,0.3,0.4,0.6,0.4,0.4,0.2,0.2,0.1,0,55.00%,11.66%,23.33%,10.00%,0.1,0.1,3.1,1.8,0.4,9.7,8.1,74034,45,3928,697,2342092
103,2026/3/14,zangief_bolado,353656,ULTIMATE,1839,15.21%,0.91%,14.76%,8.07%,38.47%,0.87%,21.68%,0.1,2.2,0.1,0.3,0.9,0.1,0.1,0.1,0.2,0.1,0,15.49%,40.84%,35.21%,8.45%,0,0.1,2.4,2.1,0.6,5.3,11.3,35427,0,31436,216,1394818
104,2026/3/14,ゆかりさん,844460,ULTIMATE,2062,14.09%,1.38%,25.86%,6.64%,27.07%,2.98%,21.94%,0.4,2.6,0.4,0.2,0.7,0.2,0,0,0.2,0.1,0,23.57%,74.28%,1.42%,0.71%,0.1,0.1,2.8,2.1,0.3,14.3,7.8,29728,4,2547,112,936742
105,2026/3/14,HOT丨PandaSaku,844112,ULTIMATE,2074,15.87%,1.80%,11.60%,9.82%,33.26%,1.84%,25.78%,0.2,1.7,0.3,0.2,0.4,0.2,0.1,0,0.1,0,0,25.33%,8.00%,54.66%,12.00%,0.1,0.1,3.4,2,0.9,14.7,8.4,62734,1,8221,135,1982128
106,2026/3/14,山田の隣,842484,ULTIMATE,2147,6.74%,3.19%,26.30%,3.65%,39.15%,1.88%,19.06%,0.3,1.1,0.3,0.1,0.5,0.4,0.2,0.1,0.2,0.2,0,24.08%,61.31%,13.13%,1.45%,0.2,0.1,2.8,2.4,0.7,17.7,8.6,32658,2465,2988,26516,2088870
107,2026/3/14,3S/宗蔵,64713,GRAND,1704,18.43%,1.78%,9.50%,8.57%,33.64%,0.62%,27.42%,0.1,3.2,0.4,0.2,1.5,0.3,0.2,0.1,0.2,0.1,0,71.11%,0.74%,18.51%,9.62%,0.1,0.1,3.4,3,1.2,10.3,9.1,73368,98,6036,622,2325002
108,2026/3/14,あーるえいち＿Twitch,836450,ULTIMATE,2143,15.73%,0.58%,16.34%,7.96%,30.93%,0.82%,27.60%,0.1,2.9,0.5,0.2,0.9,0.1,0.1,0,0.2,0.1,0,34.14%,20.73%,31.70%,13.41%,0,0.1,1.9,3.4,0.8,9.4,12.3,42853,65,738,1127,1360202
109,2026/3/14,kincho,836135,ULTIMATE,2168,16.12%,1.47%,10.40%,10.65%,39.75%,1.82%,19.74%,0.3,1.9,0.2,0.2,0.7,0.2,0.1,0,0.2,0,0,28.71%,23.76%,37.62%,9.90%,0.1,0,2.5,2,0.4,14.3,8.9,51418,46,12853,2882,1867749
110,2026/3/14,Im0A0,835801,ULTIMATE,2087,13.66%,1.57%,21.08%,9.79%,34.05%,0.44%,19.37%,0.1,1.3,0.1,0.3,0.4,0.1,0.1,0,0.2,0.1,0,19.54%,13.79%,57.47%,9.19%,0.1,0.1,3.2,2,0.5,13.9,9.5,51221,57,1080,602,1611204
111,2026/3/14,ayayan,835638,ULTIMATE,2003,10.18%,1.25%,27.50%,6.02%,30.99%,0.75%,23.27%,0.1,1.6,0.5,0.1,0.3,0.1,0.1,0,0.3,0.2,0,20.65%,22.82%,40.21%,16.30%,0.1,0,3.4,1.8,0.2,12.5,7.7,55705,50,618,1384,1793973
112,2026/3/14,jiro,835606,ULTIMATE,2072,8.42%,1.49%,9.81%,3.41%,55.52%,2.71%,18.60%,0.4,1.7,0.1,0.3,0.6,0.2,0.1,0,0.4,0.2,0.1,41.52%,49.15%,7.62%,1.69%,0,0.1,2.4,2.4,0.4,7.2,10.9,66287,193,68,1505,2157687
113,2026/3/14,Music4friends,834920,ULTIMATE,2004,15.64%,4.07%,25.43%,10.37%,26.51%,1.07%,16.88%,0.1,1.5,0.4,0.3,0.4,0.6,0.3,0,0.3,0.2,0.1,25.98%,18.11%,51.96%,3.93%,0.1,0,3.5,1.9,0.5,18.9,7.9,32744,30,1742,1680,1104768
114,2026/3/14,pc-jieba5512,834833,ULTIMATE,2160,8.73%,3.11%,18.74%,3.85%,42.23%,1.77%,21.52%,0.2,1.7,0.1,0.2,0.5,0.3,0.1,0.1,0.3,0.2,0.1,38.53%,14.67%,39.44%,7.33%,0.1,0.1,2.3,1.6,0.2,10.8,8.1,24802,0,18969,59,944910
115,2026/3/14,orarin,834527,ULTIMATE,2171,12.46%,1.25%,9.83%,7.89%,45.64%,0.66%,22.23%,0.1,1.5,0.2,0.1,0.6,0.2,0.1,0.1,0.1,0.1,0,30.76%,30.76%,33.84%,4.61%,0,0,2.5,1.3,0.3,14.8,6.2,44741,0,11816,601,1536640
116,2026/3/14,Babaaaaa,833114,ULTIMATE,2148,8.96%,1.39%,3.76%,1.81%,60.65%,4.32%,19.08%,0.6,2.1,0.1,0.3,0.9,0.2,0.1,0,0.1,0,0,21.62%,31.53%,38.73%,8.10%,0.1,0.1,2.3,1.9,0.6,6.3,8.6,42803,5,532,409,1319932
117,2026/3/14,SOL|vaio,128313,ULTIMATE,2003,16.00%,1.60%,14.00%,8.44%,34.85%,2.19%,22.89%,0.3,2.4,0.4,0.2,1.1,0.2,0.1,0,0.2,0.1,0,29.26%,23.17%,40.24%,7.31%,0.1,0,2,1.7,0.4,16,7.8,44098,0,20025,1962,1646025
118,2026/3/14,すーも。,831840,ULTIMATE,2050,12.01%,0.79%,22.97%,6.69%,26.11%,0.55%,30.85%,0.1,1.4,0.4,0.1,1,0.1,0,0,0.1,0.1,0,26.58%,15.18%,41.77%,16.45%,0.1,0,1.7,3.4,0.7,7.7,13.9,23694,2165,1618,7115,1123808
119,2026/3/14,m1Ng,137995,GRAND,1700,14.42%,2.39%,19.06%,8.03%,36.29%,0.37%,19.39%,0,2,0.2,0.3,0.5,0.3,0.1,0.1,0.2,0.1,0.1,33.33%,26.04%,29.16%,11.45%,0.1,0.1,1.9,2.7,0.5,10.2,9.5,38439,5,102,784,1226895
120,2026/3/14,Sekiganryu,830956,ULTIMATE,2038,7.39%,1.37%,30.60%,2.37%,25.82%,2.57%,29.85%,0.3,1.5,0.1,0.2,0.4,0.2,0.1,0.1,0.2,0.1,0,47.54%,16.39%,22.95%,13.11%,0.1,0,1.1,2.1,0.7,5.1,10.4,42542,87,1730,2144,1406354
121,2026/3/14,Pipokun,830326,ULTIMATE,2139,12.47%,1.46%,27.83%,6.98%,24.95%,1.75%,24.53%,0.2,1.5,0.4,0.4,0.3,0.1,0.1,0,0.2,0.1,0.1,27.27%,14.14%,52.52%,6.06%,0,0,3.9,2.8,0.4,16.1,9,34959,1769,12563,7715,1598366
122,2026/3/14,アッキー,830190,ULTIMATE,2082,15.62%,0.98%,26.81%,7.91%,23.81%,0.24%,24.59%,0,2.6,0.3,0.2,0.5,0.2,0,0,0.2,0.1,0,22.53%,19.71%,47.88%,9.85%,0.1,0.1,3,2,0.2,10.7,12.5,37512,235,281,7737,1460417
123,2026/3/14,JYUNPEI,231708,MASTER,1556,10.78%,3.72%,20.20%,7.78%,32.08%,3.08%,22.32%,0.4,0.8,0.2,0.2,0.2,0.3,0.2,0.1,0.4,0.2,0.1,24.28%,34.28%,28.57%,12.85%,0.1,0.1,1.5,1.8,0.1,8.6,8.4,21864,1075,2076,99,749985
124,2026/3/14,ColonelBustard,17777,PLATINUM4,0,12.54%,8.14%,20.76%,9.11%,14.00%,6.00%,29.42%,0.6,1,0.1,0.1,0.1,0.6,0.4,0.3,0.7,0.5,0.2,46.42%,38.09%,9.52%,5.95%,0.1,0.1,1.6,1.8,0.2,9.3,6.8,7519,1363,265,68,287315
125,2026/3/14,Qafy,33506,MASTER,1504,12.15%,5.10%,19.71%,6.84%,31.77%,1.39%,23.03%,0.2,1.7,0.1,0.2,0.4,0.6,0.3,0.1,0.3,0.2,0.1,32.96%,16.48%,41.75%,8.79%,0.1,0,2.4,2.4,0.8,9.5,7.6,6656,3806,0,35,338321
126,2026/3/14,goldencats_ついっち,583391,ULTIMATE,1845,9.67%,2.35%,20.07%,5.32%,41.38%,0.66%,20.51%,0.1,1.4,0.2,0.2,0.4,0.2,0.1,0,0.3,0.1,0,40.56%,27.35%,22.64%,9.43%,0.1,0.1,1.6,2.3,0.6,8.4,7.3,17526,203,13713,22094,1640576
127,2026/3/14,九十九化身,26010,MASTER,0,16.88%,2.73%,16.25%,11.25%,32.81%,1.79%,18.25%,0.2,1.6,0.3,0.3,0.6,0.4,0.3,0.2,0.2,0.1,0,25.24%,19.41%,44.66%,10.67%,0.1,0,0.9,2,0.5,12.1,6.2,5663,845,14438,148,366031
128,2026/3/14,Professor-S,104494,MASTER,1541,6.28%,1.62%,41.42%,1.90%,17.96%,2.81%,27.97%,0.4,1.7,0.2,0.1,0.3,0.2,0.2,0.1,0.3,0.2,0,18.75%,15.00%,42.50%,23.75%,0,0.1,2.9,1.9,0.2,5.2,9.4,3048,16,24,250,101774
129,2026/3/14,Homura_Rui,25271,MASTER,1508,0.57%,8.19%,57.10%,0.44%,0.16%,7.04%,26.48%,0.7,0,0.1,0,0,0.5,0.2,0,0.6,0.4,0.2,6.25%,22.50%,56.25%,15.00%,0.1,0,1.9,2.2,0.1,8.9,6.1,7979,2749,0,109,332979
130,2026/3/14,えびーー,25159,MASTER,0,4.49%,0.68%,24.92%,1.99%,34.41%,1.89%,31.58%,0.2,0.8,0,0.1,0.1,0.1,0,0,0.7,0.4,0,21.05%,3.50%,61.40%,14.03%,0,0.1,1.5,2.8,0.3,9.7,11.5,5169,277,297,0,169662
131,2026/3/14,Rafters1651,25237,MASTER,0,1.31%,3.69%,55.40%,0.68%,8.31%,0.38%,30.21%,0,0.2,0.2,0,0,0.4,0.3,0.1,0.4,0.3,0,41.30%,22.82%,26.08%,9.78%,0.1,0,1.7,1.9,0.7,6.3,8.1,35,3493,136,29413,1265074
132,2026/3/14,Brandou,27016,MASTER,0,16.23%,3.36%,12.57%,10.14%,30.91%,3.13%,23.62%,0.4,1.7,0.2,0.2,0.6,0.5,0.4,0.1,0.5,0.3,0.1,38.88%,30.00%,23.33%,7.77%,0.1,0.1,2.4,2.1,0.4,11.8,7.1,13254,1157,24,4910,857500
133,2026/3/14,のぶさん,83402,MASTER,0,14.76%,2.24%,17.21%,7.73%,28.18%,0.08%,29.78%,0,1.9,0.1,0.3,0.5,0.2,0.1,0,0.4,0.1,0.1,25.64%,25.64%,33.33%,15.38%,0.1,0.1,1.8,2.8,0.3,6.5,8.4,21817,12,2021,3362,924830
134,2026/3/14,Vokint,45969,MASTER,1424,10.76%,4.52%,17.22%,6.39%,28.49%,0.35%,32.24%,0,1.3,0.3,0.2,0.1,0.4,0.2,0.1,0.4,0.3,0,31.94%,12.50%,40.27%,15.27%,0.2,0,2.3,2.5,1,12.5,9.6,17488,2434,7937,311,717128
135,2026/3/14,I K K I,145786,MASTER,0,23.90%,3.46%,9.67%,12.42%,23.59%,1.17%,25.75%,0.2,3.9,0.2,0.4,1.2,0.6,0.4,0.4,0.4,0.2,0,18.51%,16.66%,51.85%,12.96%,0.1,0,1.3,2.7,0.8,7.9,4.8,14036,1918,1220,1050,576617
136,2026/3/14,mwb1201,76522,MASTER,0,17.93%,3.98%,8.74%,10.56%,26.36%,0.38%,32.02%,0,2.2,0.2,0.1,0.3,0.4,0.2,0.1,0.3,0.2,0.1,45.55%,11.11%,26.66%,16.66%,0.1,0,2.6,2.1,0.5,11.2,7,6415,1834,14676,1223,483507
137,2026/3/14,腰と背中,107740,MASTER,0,17.30%,2.29%,12.12%,10.15%,30.77%,0.43%,26.91%,0,1.8,0.3,0.3,0.6,0.2,0.1,0,0.2,0.2,0.1,21.62%,2.70%,51.35%,24.32%,0.1,0.1,3.7,2.4,0.3,9.8,7.5,13974,230,0,323,450117
138,2026/3/14,PleaseJustRAGE,76497,MASTER,1417,5.02%,1.40%,9.82%,1.81%,51.34%,2.17%,28.41%,0.3,1.1,0.1,0.1,0.3,0.2,0.1,0.1,0.4,0.3,0,47.94%,8.21%,23.28%,20.54%,0,0.1,1,2.3,0.6,8.1,10.2,9188,2031,1787,118,372105
139,2026/3/14,天才チンパンジーアイちゃん,23210,DIAMOND4,0,4.15%,6.77%,14.10%,0.87%,44.34%,3.48%,26.26%,0.4,1.1,0.1,0.1,0.1,0.7,0.5,0.1,0.6,0.5,0.2,21.53%,15.38%,52.30%,10.76%,0,0.1,4.7,2.7,0.9,7.9,6.9,8732,4411,238,46,416509
140,2026/3/14,自我bot,33173,MASTER,0,12.90%,2.40%,9.45%,6.15%,48.93%,1.79%,18.34%,0.2,2.3,0.2,0.2,0.6,0.3,0.2,0.2,0.5,0.2,0,40.98%,13.11%,39.34%,6.55%,0.1,0.2,2,2.1,0.5,10.1,7.7,4958,151,3112,28,227813
141,2026/3/14,Jheshush,20479,DIAMOND2,0,12.90%,4.73%,10.19%,5.90%,42.42%,1.93%,21.89%,0.3,2.5,0.2,0.2,0.6,0.7,0.5,0.3,0.4,0.2,0.1,53.48%,17.44%,26.74%,2.32%,0.2,0.1,2.2,1.7,0.4,8,7.9,10940,666,6646,10,432150
