No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
区分,データ取得日,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブリバーサル,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,スタン,スタン,投げ,投げ,投げ,壁際,壁際,プレイ回数,プレイ回数,プレイ回数,プレイ回数,プレイポイント
項目,データ取得日,プレイヤー名,リーグポイント,ランク,MR,ドライブパリィ,ドライブインパクト,オーバードライブアーツ,パリィドライブラッシュ,キャンセルドライブラッシュ,ドライブリバーサル,ダメージ,使用回数,成功回数,相手のドライブパリィを投げた,自分のドライブパリィを投げられた,ジャストパリィ回数,決めた回数,パニッシュカウンターを決めた回数,相手のドライブインパクトに決めた回数,受けた回数,パニッシュカウンターを受けた回数,相手にドライブインパクトで返された回数,Lv1,Lv2,Lv3,CA,スタンさせた回数,スタンさせられた回数,決めた回数,受けた回数,投げ抜け回数,相手を追い詰めている時間,相手に追い詰められている時間,ランクマッチプレイ回数,カジュアルマッチプレイ回数,ルームマッチプレイ回数,バトルハブマッチプレイ回数,累計プレイポイント
単位,日付,テキスト,数値,テキスト,数値,割合,割合,割合,割合,割合,割合,割合,回,回,回,回,回,回,回,回,回,回,回,割合,割合,割合,割合,回,回,回,回,回,秒,秒,回,回,回,回,数値
15,2026/3/14,obachan,20199,DIAMOND1,0,11.37%,11.83%,25.30%,7.95%,12.24%,0.00%,31.28%,0,0.3,0.1,0,0,0.9,0.5,0.2,1.1,0.6,0.2,100.00%,0.00%,0.00%,0.00%,0,0.1,1.8,1.5,0,18,5.4,13,0,0,0,535
16,2026/3/14,S1R4SU,"17,942",PLATINUM5,0,11.79%,8.95%,24.28%,6.75%,24.92%,2.82%,20.46%,0.4,1.5,0.2,0.1,0.3,0.9,0.7,0.4,0.8,0.5,0.2,26.02%,24.65%,28.76%,20.54%,0,0.1,3.6,2,0.2,9.3,7.5,3733,1,1695,36,173198
17,2026/3/14,イムムーン,"24,329",DIAMOND5,0,11.05%,2.15%,15.29%,6.80%,35.86%,2.11%,26.72%,0.2,1,0.1,0.1,0.2,0.3,0.2,0.1,0.4,0.2,0.1,23.15%,37.89%,32.63%,6.31%,0,0.2,1.2,1.6,0.1,5.7,13.1,5852,741,429,48,239170
18,2026/3/14,Fede_87,19000,DIAMOND1,0,10.69%,5.65%,13.05%,6.17%,29.56%,3.32%,31.52%,0.4,1.3,0.2,0.1,0.1,0.5,0.3,0.1,0.9,0.5,0.1,25.00%,14.47%,46.05%,14.47%,0,0,2.9,2.4,0.7,3.8,9.2,312,27,0,77,16878
19,2026/3/14,史上最強のししゃも,21498,DIAMOND3,0,6.92%,5.01%,26.28%,3.32%,33.57%,0.00%,24.85%,0,1.2,0.1,0,0.2,0.5,0.3,0.1,0.5,0.3,0.1,38.21%,21.95%,30.08%,9.75%,0.1,0.1,1.7,2.1,0.4,6.3,8.5,600,374,18,0,34965
20,2026/3/14,リプトン,"18,213",PLATINUM5,0,8.83%,11.82%,58.05%,3.20%,0.00%,0.08%,17.98%,0,1.7,0.3,0.1,0.1,1.1,0.6,0.2,0.7,0.4,0.3,36.17%,23.40%,31.91%,8.51%,0.1,0,2.6,2.1,0.5,10.1,4.9,1995,32,86,24,80035
21,2026/3/14,ほーぎく,11886,GOLD4,0,5.31%,2.42%,44.91%,1.84%,0.17%,0.00%,45.32%,0,0.4,0.1,0.1,0.1,0.1,0.1,0,1.2,0.8,0,40.00%,2.85%,28.57%,28.57%,0,0,1.7,2.3,0.4,7.1,5.6,184,0,0,0,19948
22,2026/3/14,リベリア,11395,GOLD2,0,14.98%,2.04%,24.75%,8.62%,4.34%,0.13%,45.12%,0,0.8,0,0.1,0,0.2,0.1,0,1,0.7,0,29.82%,7.01%,28.07%,35.08%,0,0,4,2.4,0.3,4.7,5.7,651,70,0,19,27769
23,2026/3/14,machappachaps,11395,GOLD2,0,4.52%,2.72%,24.30%,1.09%,36.80%,0.00%,30.54%,0,0.7,0.2,0,0.1,0.4,0.3,0.3,0.6,0.4,0,48.14%,11.11%,25.92%,14.81%,0,0,3.8,2.7,0.4,11.6,2.8,182,2,703,0,23320
24,2026/3/14,TTV_ZAZALEAF,"11,392",GOLD2,0,11.51%,23.38%,32.25%,4.38%,0.00%,0.17%,28.28%,0,1.3,0.1,0.3,0.1,2.1,1.4,0.2,0.9,0.5,0.3,10.97%,10.97%,50.00%,28.04%,0,0,4.8,3,0.3,6.6,5.5,194,10,0,0,6054
25,2026/3/14,ひぐち！,768856,ULTIMATE,2302,15.47%,1.22%,8.61%,10.57%,37.91%,1.36%,24.82%,0.2,1.5,0.3,0.3,0.6,0.2,0.1,0.1,0.1,0,0,51.59%,35.03%,10.82%,2.54%,0,0,2,2.8,0.5,9.5,11.6,16765,21,14732,1448,804743
26,2026/3/14,YHC-餅,923957,ULTIMATE,2295,8.51%,1.88%,11.47%,4.21%,45.48%,3.61%,24.81%,0.5,1,0.1,0.4,0.4,0.3,0.2,0.1,0.1,0,0,52.84%,12.19%,24.39%,10.56%,0.1,0,1.9,2.5,0.5,7.8,15.2,34506,0,8145,1,1140826
27,2026/3/14,Hand Me Downs,369664,ULTIMATE,2243,14.05%,0.72%,12.05%,8.91%,40.81%,0.50%,22.93%,0.1,1.6,0.2,0.2,0.9,0.1,0.1,0,0.1,0.1,0,7.69%,21.97%,59.34%,10.98%,0,0,1.6,2,0.6,13.9,8.1,22611,338,23336,120,967491
28,2026/3/14,PC6Akira,319503,ULTIMATE,2241,9.54%,1.68%,16.14%,3.94%,39.76%,1.05%,27.85%,0.1,1.8,0.2,0.2,0.6,0.2,0.2,0,0.1,0.1,0,45.66%,17.32%,25.19%,11.81%,0.1,0,2.2,2.9,0.5,15.7,11.1,18573,0,27105,153,855108
29,2026/3/14,路易十二,356589,ULTIMATE,2237,11.74%,1.10%,20.01%,7.13%,35.18%,0.24%,24.55%,0,1.3,0.2,0.2,0.4,0.2,0.1,0,0.1,0,0,46.61%,17.29%,27.06%,9.02%,0.1,0,3.1,2.1,0.5,14.3,8.9,16790,7,15303,61,683566
30,2026/3/14,三田JP,799456,ULTIMATE,2232,14.00%,2.37%,35.34%,7.05%,21.66%,0.32%,19.22%,0,2.4,0.6,0.2,1,0.5,0.1,0.1,0.1,0.1,0,15.33%,73.33%,8.00%,3.33%,0.2,0,1.6,2,0.1,12.7,11.7,22012,0,281,93,681052
31,2026/3/14,-DingChunQiu-,400800,ULTIMATE,2231,11.99%,1.81%,29.69%,6.01%,24.22%,0.36%,25.88%,0,1.7,0.4,0.4,0.9,0.3,0.1,0,0.1,0.1,0,20.45%,53.78%,18.18%,7.57%,0.1,0,1.5,2.3,0.5,14.1,13.9,26740,7,20805,145,1038045
32,2026/3/14,@Sycom┃zabutonn,821341,ULTIMATE,2227,13.87%,1.83%,28.31%,7.73%,25.48%,0.31%,22.43%,0,1.3,0.2,0.4,1,0.2,0.1,0,0.3,0.2,0.1,36.13%,38.65%,16.80%,8.40%,0.1,0.1,1.7,1.5,0.3,10.7,8.1,29702,337,30462,1304,1355783
33,2026/3/14,ABOOD-BBOY,61512,ULTIMATE,2226,11.20%,1.55%,25.43%,8.03%,31.73%,1.40%,20.64%,0.2,1,0.4,0,0.4,0.2,0.2,0.1,0.2,0.1,0,26.31%,36.84%,26.31%,10.52%,0.1,0,2.6,1.3,0.3,14.8,6,22746,0,17373,20,878662
34,2026/3/14,ランダム,171001,ULTIMATE,2223,8.67%,1.16%,24.02%,3.48%,44.61%,0.07%,17.96%,0,2,0.2,0.1,0.7,0.1,0.1,0,0.1,0,0,22.91%,16.66%,56.25%,4.16%,0.1,0,1.7,1.4,0.3,15.7,4.9,9308,6,107,205,290088
35,2026/3/14,我是贤师傅，今天求求你让我赢,455955,ULTIMATE,2222,13.28%,2.72%,21.07%,7.84%,31.99%,0.91%,22.15%,0.1,2.1,0.4,0.1,0.6,0.6,0.4,0.3,0.4,0.2,0,30.76%,41.95%,19.58%,7.69%,0.2,0.1,2,1.7,0.5,20.4,6.9,12424,23,15163,300,572377
36,2026/3/14,kuromame,839535,ULTIMATE,2217,8.84%,0.94%,13.28%,4.97%,47.88%,2.58%,21.47%,0.4,1.6,0.2,0.1,0.6,0.2,0,0,0.1,0,0,51.81%,15.45%,29.09%,3.63%,0.1,0.1,2.4,2.1,0.9,19.4,8.8,58985,63,3990,679,1873861
37,2026/3/14,Shuto,546123,ULTIMATE,2217,12.17%,2.67%,23.41%,7.83%,34.26%,0.99%,18.62%,0.1,1.5,0.3,0.1,0.5,0.4,0.2,0.1,0.3,0.1,0.1,50.65%,20.39%,25.00%,3.94%,0.2,0.1,2.5,1.8,0.5,13,7.4,35470,1,29509,715,1498988
38,2026/3/14,Seiya,821847,ULTIMATE,2216,9.92%,0.67%,11.10%,5.23%,46.47%,0.52%,26.05%,0.1,1.2,0.4,0.1,1.1,0.1,0.1,0,0.1,0,0,35.77%,33.02%,21.10%,10.09%,0,0,2.8,2.3,0.5,12.9,9.4,27547,21,11283,7774,1312582
39,2026/3/14,DakCorgi,760543,ULTIMATE,2216,12.66%,1.61%,30.12%,4.42%,19.74%,3.63%,27.77%,0.5,2.2,0.3,0.2,1.1,0.2,0.2,0.1,0.2,0.1,0,46.40%,29.60%,15.20%,8.80%,0.1,0.1,1.8,2.4,0.7,14,8.4,60493,11,5636,3617,2071773
40,2026/3/14,2G Brayan_Job,595524,ULTIMATE,2216,16.65%,1.31%,14.70%,9.99%,35.90%,0.20%,21.21%,0,2.3,0.4,0.2,1.4,0.1,0.1,0,0.1,0,0,24.13%,27.58%,37.06%,11.20%,0.1,0,2.3,2.3,0.3,14.2,8.5,12532,1,7250,0,454384
41,2026/3/14,プルプルなぷる,745673,ULTIMATE,2215,14.89%,1.30%,22.95%,7.81%,29.11%,0.60%,23.31%,0.1,2.3,0.2,0.4,0.8,0.2,0.1,0,0.3,0.2,0.1,24.74%,21.64%,44.32%,9.27%,0.1,0.2,2.1,3,0.6,12.5,13.6,37396,69,2810,1586,1241987
42,2026/3/14,Nashi_espopia,443653,ULTIMATE,2213,12.01%,0.27%,14.68%,3.63%,10.18%,0.13%,59.06%,0,1.6,0.1,0.1,0.5,0,0,0,0.1,0.1,0,39.80%,23.30%,28.15%,8.73%,0,0,2.4,3.4,0.8,5.2,15.3,54802,293,1836,11206,2121052
