short_id,fetch_date,player_name,league_point,master_rating,league_rank,battle_hub_match_play_count,casual_match_play_count,corner_time,cornered_time,custom_room_match_play_count,drive_impact,drive_impact_to_drive_impact,drive_parry,drive_reversal,gauge_rate_ca,gauge_rate_drive_arts,gauge_rate_drive_guard,gauge_rate_drive_impact,gauge_rate_drive_other,gauge_rate_drive_reversal,gauge_rate_drive_rush_from_cancel,gauge_rate_drive_rush_from_parry,gauge_rate_sa_lv1,gauge_rate_sa_lv2,gauge_rate_sa_lv3,just_parry,punish_counter,rank_match_play_count,received_drive_impact,received_drive_impact_to_drive_impact,received_punish_counter,received_stun,received_throw_count,received_throw_drive_parry,rival_ai_achieved_challenge_count,rival_ai_highest_league_rank,rival_ai_highest_league_rank_txt,stun,target_clear_count,throw_count,throw_drive_parry,throw_tech,total_all_character_play_point
3139764784,2026/3/14,takepi,888668,2325,36,14,0,10.1,9.2,1286,0.5,0,2.5,0.2,0.0236,0.4105,0.1034,0.0321,0.1965,0.015,0.2021,0.04,0.2047,0.6141,0.1574,0.6,0.2,11881,0.1,0,0.1,0,1.7,0.1,0,0,-,0.2,24,1.3,0.4,0.6,377978
2399060619,2026/3/14,hinao,818303,2196,36,2,0,13.2,8.6,4794,0.2,0,1.9,0.1,0.0973,0.1993,0.1212,0.0168,0.1874,0.0071,0.408,0.0599,0.3982,0.2123,0.292,0.6,0.1,26443,0.1,0,0.1,0.1,1.8,0.2,0,0,-,0.1,41,2.5,0.2,0.3,861782
3550331968,2026/3/14,ひぐち！,768856,2302,36,1448,21,9.5,11.6,14732,0.2,0.1,1.5,0.2,0.0254,0.0861,0.1547,0.0122,0.2482,0.0136,0.3791,0.1057,0.5159,0.3503,0.1082,0.6,0.1,16765,0.1,0,0,0,2.8,0.3,0,36,Master,0,285,2,0.3,0.5,804743
3833467565,2026/3/14,YHC-餅,923957,2295,36,1,0,7.8,15.2,8145,0.3,0.1,1,0.5,0.1056,0.1147,0.0851,0.0188,0.2481,0.0361,0.4548,0.0421,0.5284,0.1219,0.2439,0.4,0.2,34506,0.1,0,0,0,2.5,0.4,0,0,-,0.1,42,1.9,0.1,0.5,1140826
3708958378,2026/3/14,あくたがわ,239282,1793,36,4264,398,13.6,6.1,7504,0.2,0,1.6,0.2,0.1372,0.2231,0.0846,0.0148,0.2231,0.0166,0.4007,0.0368,0.245,0.0784,0.5392,0.7,0.1,57852,0.1,0,0,0,1.5,0.1,0,36,Master,0,337,2.2,0.2,0.5,2040241
4076601818,2026/3/14,Hand Me Downs,369664,2243,36,120,338,13.9,8.1,23336,0.1,0,1.6,0.1,0.1098,0.1205,0.1405,0.0072,0.2293,0.005,0.4081,0.0891,0.0769,0.2197,0.5934,0.9,0.1,22611,0.1,0,0.1,0,2,0.2,0,0,-,0,178,1.6,0.2,0.6,967491
3108342606,2026/3/14,SBI_Hibiki,815205,2243,36,533,0,10.3,10.9,9489,0.2,0,2.8,0.1,0.0241,0.2633,0.1266,0.0109,0.2735,0.006,0.2792,0.0401,0.6532,0.2338,0.0887,1.3,0.1,24893,0.2,0,0.1,0.1,2.8,0.3,0,36,Master,0.1,88,2.3,0.3,0.8,882603
3188331272,2026/3/14,tako956402,416377,1981,36,691,528,16.6,7.4,4436,0.1,0,2,0.1,0.0578,0.1683,0.1593,0.0065,0.1808,0.0065,0.395,0.0832,0.3057,0.157,0.4793,0.8,0.1,46096,0.1,0,0,0,2.2,0.2,0,36,Master,0,153,3.5,0.3,0.4,1520473
1529602025,2026/3/14,PC6Akira,319503,1775,36,153,0,15.7,11.1,27105,0.2,0,1.8,0.1,0.1181,0.1614,0.0954,0.0168,0.2785,0.0105,0.3976,0.0394,0.4566,0.1732,0.2519,0.6,0.2,18573,0.1,0,0.1,0,2.9,0.2,0,0,-,0.1,97,2.2,0.2,0.5,855108
4173356890,2026/3/14,路易十二,356589,2169,36,61,7,14.3,8.9,15303,0.2,0,1.3,0,0.0902,0.2001,0.1174,0.011,0.2455,0.0024,0.3518,0.0713,0.4661,0.1729,0.2706,0.4,0.1,16790,0.1,0,0,0,2.1,0.2,0,36,Master,0.1,62,3.1,0.2,0.5,683566
