character_id,fighter_banner_info.allow_cross_play,fighter_banner_info.battle_input_type,fighter_banner_info.custom_room_invite_setting,fighter_banner_info.enjoy_total_point,fighter_banner_info.favorite_character_id,fighter_banner_info.favorite_character_league_info.league_point,fighter_banner_info.favorite_character_league_info.league_rank,fighter_banner_info.favorite_character_league_info.master_league,fighter_banner_info.favorite_character_league_info.master_rating,fighter_banner_info.favorite_character_league_info.master_rating_ranking,fighter_banner_info.favorite_character_play_point.battle_hub,fighter_banner_info.favorite_character_play_point.fighting_ground,fighter_banner_info.favorite_character_play_point.world_tour,fighter_banner_info.friend_request_flag,fighter_banner_info.friendship,fighter_banner_info.home_id,fighter_banner_info.inside_rank,fighter_banner_info.is_circle_invite,fighter_banner_info.is_circle_member,fighter_banner_info.last_play_at,fighter_banner_info.main_circle.circle_id,fighter_banner_info.main_circle.circle_name,fighter_banner_info.main_circle.data_exist,fighter_banner_info.main_circle.emblem.emblem_base,fighter_banner_info.main_circle.emblem.emblem_base_color,fighter_banner_info.main_circle.emblem.emblem_frame,fighter_banner_info.main_circle.emblem.emblem_frame_color,fighter_banner_info.main_circle.emblem.emblem_pattern,fighter_banner_info.main_circle.emblem.emblem_pattern_color,fighter_banner_info.main_circle.emblem.emblem_pattern_horizontal_inversion,fighter_banner_info.main_circle.emblem.emblem_pattern_vertical_inversion,fighter_banner_info.main_circle.emblem.emblem_processing,fighter_banner_info.main_circle.emblem.emblem_symbol1,fighter_banner_info.main_circle.emblem.emblem_symbol1_clipping,fighter_banner_info.main_circle.emblem.emblem_symbol1_color,fighter_banner_info.main_circle.emblem.emblem_symbol1_horizontal_inversion,fighter_banner_info.main_circle.emblem.emblem_symbol1_vertical_inversion,fighter_banner_info.main_circle.emblem.emblem_symbol2,fighter_banner_info.main_circle.emblem.emblem_symbol2_clipping,fighter_banner_info.main_circle.emblem.emblem_symbol2_color,fighter_banner_info.main_circle.emblem.emblem_symbol2_horizontal_inversion,fighter_banner_info.main_circle.emblem.emblem_symbol2_vertical_inversion,fighter_banner_info.main_circle.leader.fighter_id,fighter_banner_info.main_circle.leader.platform_id,fighter_banner_info.main_circle.leader.short_id,fighter_banner_info.max_content_play_time.content_type,fighter_banner_info.max_content_play_time.play_time,fighter_banner_info.mobile_linkage,fighter_banner_info.online_status_info.battlehub_admission_restriction,fighter_banner_info.online_status_info.battlehub_id,fighter_banner_info.online_status_info.battlehub_platform_id,fighter_banner_info.online_status_info.battlehub_region_id,fighter_banner_info.online_status_info.battlehub_server_no,fighter_banner_info.online_status_info.custom_room_master_short_id,fighter_banner_info.online_status_info.custom_room_platform_id,fighter_banner_info.online_status_info.custom_room_publish_setting,fighter_banner_info.online_status_info.custom_room_region_id,fighter_banner_info.online_status_info.custom_room_required_network_connection_quality,fighter_banner_info.online_status_info.custom_room_required_pass_code,fighter_banner_info.online_status_info.custom_room_room_id,fighter_banner_info.online_status_info.online_status,fighter_banner_info.personal_info.fighter_id,fighter_banner_info.personal_info.platform_id,fighter_banner_info.personal_info.short_id,fighter_banner_info.personal_info.platform_name,fighter_banner_info.personal_info.platform_tool_name,fighter_banner_info.play_time_zone.end_hour,fighter_banner_info.play_time_zone.end_minute,fighter_banner_info.play_time_zone.start_hour,fighter_banner_info.play_time_zone.start_minute,fighter_banner_info.profile_comment.profile_tag_id,fighter_banner_info.profile_comment.tag_option_id,fighter_banner_info.title_plate,fighter_banner_info.favorite_character_name,fighter_banner_info.favorite_character_tool_name,fighter_banner_info.title_data.title_data_id,fighter_banner_info.title_data.title_data_grade_id,fighter_banner_info.title_data.title_data_grade_name,fighter_banner_info.title_data.title_data_plate_id,fighter_banner_info.title_data.title_data_plate_name,fighter_banner_info.title_data.title_data_val,fighter_banner_info.home_name,league_point,league_rank,master_league,master_rating,master_rating_ranking,order,ranking_title_plate,character_name,character_tool_name,ranking_title_data.title_data_id,ranking_title_data.title_data_grade_id,ranking_title_data.title_data_grade_name,ranking_title_data.title_data_plate_id,ranking_title_data.title_data_plate_name,ranking_title_data.title_data_val,source.page,source.ranking_type,source.locale
28,True,0,1,1627,28,913473,36,42,1951,1787,0,928445,0,False,2,24,2,True,False,1773176915,,,False,0,0,0,0,0,0,False,False,0,0,False,0,False,False,0,False,0,False,False,,0,0,2,5963842,False,0,,0,0,0,0,0,1,0,0,False,,1,Arthuro-Ray,5,4059523573,Steam,steam,23,0,22,30,7,0,10006,Mai,mai,10006,1,銅,1,1-f6ae0cd7d82bc3119e500c6843fbf2,Street Fighter V Fan,Brazil,913473,36,42,1951,1787,11,10006,Mai,mai,10006,1,銅,1,1-f6ae0cd7d82bc3119e500c6843fbf2,Street Fighter V Fan,1,league,en
5,True,0,1,26378,1,239282,36,41,1793,11681,1360,62508,150,False,2,85,2,True,False,1773432521,778c7fc54d18438db98fe72c2fbc9100,BoyReturns,True,6,3,1,17,2,6,False,True,1,40054,False,9,False,False,40085,False,1,False,False,chama,2,1485372879,2,7512735,False,0,,0,0,0,0,0,1,0,0,False,,1,あくたがわ,5,3708958378,Steam,steam,14,30,14,0,2,0,10001,Ryu,ryu,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,Japan,911521,36,37,2286,5,12,11076,Manon,manon,11076,6,SPECIAL,413,413-60a129124bd75ad617739305f87e55,<span style='color: #ffd700;'>Legendary Pinnacle</span>,1,league,en
7,True,0,1,3005,7,905401,36,42,2015,886,13676,1122033,1757,False,2,186,2,True,False,1772026363,cf599bb7d3934b6f826a2aed58fecdd5,GaysAgainstMai,True,9,1,1,3,8,9,False,False,35002,40001,False,1,False,False,40170,False,1,False,False,Jango_Beezy,5,1479683302,2,5577325,False,0,,0,0,0,0,0,1,0,0,False,,1,Kuma,2,1488034947,CrossPlatform,cross,10,30,10,0,4,7,10823,JP,jp,10823,5,グレード5,251,251-cb54ae0325048f893df20485de1491,Phase 4 Legend!,United States,905401,36,42,2015,886,13,10823,JP,jp,10823,5,グレード5,251,251-cb54ae0325048f893df20485de1491,Phase 4 Legend!,1,league,en
11,True,0,1,788,11,893494,36,37,2099,310,14870,1983733,0,False,2,85,2,True,False,1773480542,,,False,0,0,0,0,0,0,False,False,0,0,False,0,False,False,0,False,0,False,False,,0,0,2,9660344,False,0,,0,0,0,0,0,1,0,0,False,,1,NatsuNashi,5,1000857423,Steam,steam,9,30,9,0,28,0,10352,Dee Jay,deejay,10352,5,グレード5,7110,7110-59763234bb36842ee2a3a5e1038b7c,MAXIMUUUUUM!,Japan,893494,36,37,2099,310,14,10352,Dee Jay,deejay,10352,5,グレード5,7110,7110-59763234bb36842ee2a3a5e1038b7c,MAXIMUUUUUM!,1,league,en
6,True,0,1,2979,6,891520,36,42,1851,4922,46581,2338190,0,False,2,186,2,True,False,1773469161,ba446c6e4b814897a2587658d325cfd8,NASTYVILLE,True,8,22,2,10,6,18,False,False,1,40127,False,5,False,False,40082,False,1,False,False,BIG RIG,5,3026051380,2,10029733,False,0,,0,0,0,0,0,1,0,0,False,,1,BIG RIG,5,3026051380,Steam,steam,22,30,21,0,7,0,10546,Zangief,zangief,10546,5,グレード5,10,10-dc6f7b4bfbc053fbad50e190bf3f94,Bounty Buster,United States,891520,36,42,1851,4922,15,10546,Zangief,zangief,10546,5,グレード5,10,10-dc6f7b4bfbc053fbad50e190bf3f94,Bounty Buster,1,league,en
2,True,0,1,9399,26,632401,36,42,2065,534,0,218813,0,False,2,186,2,True,False,1773330475,,,False,0,0,0,0,0,0,False,False,0,0,False,0,False,False,0,False,0,False,False,,0,0,2,6719788,False,0,,0,0,0,0,0,1,0,0,False,,1,noahtheprodigy,5,4248707238,Steam,steam,15,0,14,30,1,0,10001,M. Bison,vega,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,United States,890989,36,37,2162,82,16,10001,Luke,luke,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,1,league,en
7,True,0,1,2841,7,888668,36,37,2325,1,180,320480,0,False,2,85,2,True,False,1773411771,76cac0a34dce41e5912e319590947fba,JohanParty,True,6,2,1,3,7,4,False,True,1,40151,True,4,False,False,40001,False,1,False,False,takepi,5,3139764784,2,1671043,False,0,,0,0,0,0,0,1,0,0,False,,1,takepi,5,3139764784,Steam,steam,14,30,14,0,1,0,11200,JP,jp,11200,6,SPECIAL,494,494-9a66f869a2bae084b7769f711c9107,Team iXA,Japan,888668,36,37,2325,1,17,11200,JP,jp,11200,6,SPECIAL,494,494-9a66f869a2bae084b7769f711c9107,Team iXA,1,league,en
14,True,0,1,1484,14,885866,36,37,2121,182,37378,1441183,7,False,2,85,2,True,False,1773064871,82c640f29f6045f88d1d3ad37c17f9de,ssbusbg,True,4,3,2,2,1,1,False,False,1,40176,True,5,False,False,40113,True,9,False,False,わなー222,5,2310508298,2,6310111,False,0,,0,0,0,0,0,1,0,0,False,,1,とす__,5,3301319708,Steam,steam,11,30,10,0,7,0,10010,Rashid,rashid,10010,1,銅,61,61-f279960ce32c89b415f9fc21e48221,Looking to Make Friends,Japan,885866,36,37,2121,182,18,10010,Rashid,rashid,10010,1,銅,61,61-f279960ce32c89b415f9fc21e48221,Looking to Make Friends,1,league,en
17,True,0,1,11425,7,26086,36,0,0,0,5280,11832,546,False,2,138,2,True,False,1773410217,4be475e0b017468fb00dd123c5aee591,INYA,True,6,1,1,3,1,1,False,False,1,40086,False,7,False,False,40087,True,10,False,False,MIDORI,5,4209399895,2,8611793,False,0,,0,0,0,0,0,1,0,0,False,,1,MIDORI,5,4209399895,Steam,steam,13,0,12,30,1,0,10001,JP,jp,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,South Korea,880944,36,37,2159,90,19,11102,Marisa,marisa,11102,5,グレード5,419,419-f36493a0ef41b7081e54f1a510fa6d,Phase 10 Legend!,1,league,en
22,True,0,1,11283,19,26178,36,36,1506,186773,0,9035,0,False,2,138,2,False,False,1773381514,b9abfa3d11364d4d80f464d2b9c3ae29,NLhub,True,7,1,2,6,1,5,False,False,35002,40054,False,1,False,False,40152,False,1,False,False,NLNL,5,4029657578,2,10711814,False,0,,0,0,0,0,0,0,0,0,False,,1,NLNL,5,4029657578,Steam,steam,15,30,13,30,2,0,10001,Ed,ed,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,South Korea,878372,36,37,2078,395,20,10001,Akuma,gouki,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,1,league,en
