character_id,fighter_banner_info.allow_cross_play,fighter_banner_info.battle_input_type,fighter_banner_info.custom_room_invite_setting,fighter_banner_info.enjoy_total_point,fighter_banner_info.favorite_character_id,fighter_banner_info.favorite_character_league_info.league_point,fighter_banner_info.favorite_character_league_info.league_rank,fighter_banner_info.favorite_character_league_info.master_league,fighter_banner_info.favorite_character_league_info.master_rating,fighter_banner_info.favorite_character_league_info.master_rating_ranking,fighter_banner_info.favorite_character_play_point.battle_hub,fighter_banner_info.favorite_character_play_point.fighting_ground,fighter_banner_info.favorite_character_play_point.world_tour,fighter_banner_info.friend_request_flag,fighter_banner_info.friendship,fighter_banner_info.home_id,fighter_banner_info.inside_rank,fighter_banner_info.is_circle_invite,fighter_banner_info.is_circle_member,fighter_banner_info.last_play_at,fighter_banner_info.main_circle.circle_id,fighter_banner_info.main_circle.circle_name,fighter_banner_info.main_circle.data_exist,fighter_banner_info.main_circle.emblem.emblem_base,fighter_banner_info.main_circle.emblem.emblem_base_color,fighter_banner_info.main_circle.emblem.emblem_frame,fighter_banner_info.main_circle.emblem.emblem_frame_color,fighter_banner_info.main_circle.emblem.emblem_pattern,fighter_banner_info.main_circle.emblem.emblem_pattern_color,fighter_banner_info.main_circle.emblem.emblem_pattern_horizontal_inversion,fighter_banner_info.main_circle.emblem.emblem_pattern_vertical_inversion,fighter_banner_info.main_circle.emblem.emblem_processing,fighter_banner_info.main_circle.emblem.emblem_symbol1,fighter_banner_info.main_circle.emblem.emblem_symbol1_clipping,fighter_banner_info.main_circle.emblem.emblem_symbol1_color,fighter_banner_info.main_circle.emblem.emblem_symbol1_horizontal_inversion,fighter_banner_info.main_circle.emblem.emblem_symbol1_vertical_inversion,fighter_banner_info.main_circle.emblem.emblem_symbol2,fighter_banner_info.main_circle.emblem.emblem_symbol2_clipping,fighter_banner_info.main_circle.emblem.emblem_symbol2_color,fighter_banner_info.main_circle.emblem.emblem_symbol2_horizontal_inversion,fighter_banner_info.main_circle.emblem.emblem_symbol2_vertical_inversion,fighter_banner_info.main_circle.leader.fighter_id,fighter_banner_info.main_circle.leader.platform_id,fighter_banner_info.main_circle.leader.short_id,fighter_banner_info.max_content_play_time.content_type,fighter_banner_info.max_content_play_time.play_time,fighter_banner_info.mobile_linkage,fighter_banner_info.online_status_info.battlehub_admission_restriction,fighter_banner_info.online_status_info.battlehub_id,fighter_banner_info.online_status_info.battlehub_platform_id,fighter_banner_info.online_status_info.battlehub_region_id,fighter_banner_info.online_status_info.battlehub_server_no,fighter_banner_info.online_status_info.custom_room_master_short_id,fighter_banner_info.online_status_info.custom_room_platform_id,fighter_banner_info.online_status_info.custom_room_publish_setting,fighter_banner_info.online_status_info.custom_room_region_id,fighter_banner_info.online_status_info.custom_room_required_network_connection_quality,fighter_banner_info.online_status_info.custom_room_required_pass_code,fighter_banner_info.online_status_info.custom_room_room_id,fighter_banner_info.online_status_info.online_status,fighter_banner_info.personal_info.fighter_id,fighter_banner_info.personal_info.platform_id,fighter_banner_info.personal_info.short_id,fighter_banner_info.personal_info.platform_name,fighter_banner_info.personal_info.platform_tool_name,fighter_banner_info.play_time_zone.end_hour,fighter_banner_info.play_time_zone.end_minute,fighter_banner_info.play_time_zone.start_hour,fighter_banner_info.play_time_zone.start_minute,fighter_banner_info.profile_comment.profile_tag_id,fighter_banner_info.profile_comment.tag_option_id,fighter_banner_info.title_plate,fighter_banner_info.favorite_character_name,fighter_banner_info.favorite_character_tool_name,fighter_banner_info.title_data.title_data_id,fighter_banner_info.title_data.title_data_grade_id,fighter_banner_info.title_data.title_data_grade_name,fighter_banner_info.title_data.title_data_plate_id,fighter_banner_info.title_data.title_data_plate_name,fighter_banner_info.title_data.title_data_val,fighter_banner_info.home_name,league_point,league_rank,master_league,master_rating_ranking,order,ranking_title_plate,rating,character_name,character_tool_name,ranking_title_data.title_data_id,ranking_title_data.title_data_grade_id,ranking_title_data.title_data_grade_name,ranking_title_data.title_data_plate_id,ranking_title_data.title_data_plate_name,ranking_title_data.title_data_val,source.page,source.ranking_type,source.locale
7,True,0,1,3540,7,930935,36,37,2436,1,180,362747,0,False,2,85,2,True,False,1776435168,76cac0a34dce41e5912e319590947fba,JohanParty,True,6,2,1,3,7,4,False,True,1,40151,True,4,False,False,40001,False,1,False,False,takepi,5,3139764784,2,1931300,False,0,,0,0,0,0,0,1,0,0,False,,1,takepi,5,3139764784,Steam,steam,14,0,13,30,1,0,11200,JP,jp,11200,6,SPECIAL,494,494-9a66f869a2bae084b7769f711c9107,Team iXA,Japan,0,36,37,1,1,11200,2436,JP,jp,11200,6,SPECIAL,494,494-9a66f869a2bae084b7769f711c9107,Team iXA,1,master,en
13,True,0,1,22394,13,847328,36,37,2433,2,24870,708670,1160,False,2,85,2,True,False,1776451897,25825afccfb3497fa020a0355b424063,ZETADIVISION,True,6,1,2,11,1,13,False,False,35007,40151,False,4,False,False,40001,False,1,False,False,hikaru_shiftne,5,3434437969,2,5752512,False,0,,0,0,0,0,0,1,0,0,False,,1,hikaru_shiftne,5,3434437969,Steam,steam,15,30,15,0,23,13,11196,A.K.I.,aki,11196,6,SPECIAL,490,490-4abb3024ac01ea44715cdeb77ea850,Team ZETA,Japan,0,36,37,2,2,11196,2433,A.K.I.,aki,11196,6,SPECIAL,490,490-4abb3024ac01ea44715cdeb77ea850,Team ZETA,1,master,en
8,True,0,1,12512,8,954177,36,37,2407,3,60,1178731,0,False,2,85,2,True,False,1776446746,,,False,0,0,0,0,0,0,False,False,0,0,False,0,False,False,0,False,0,False,False,,0,0,2,4962271,False,0,,0,0,0,0,0,1,0,0,False,,1,YHC-餅,5,3833467565,Steam,steam,14,0,13,30,20,8,11194,Dhalsim,dhalsim,11194,6,SPECIAL,488,488-dbc78566c23d1b9e63de1b9502e46b,Team VARREL,Japan,0,36,37,3,3,11194,2407,Dhalsim,dhalsim,11194,6,SPECIAL,488,488-dbc78566c23d1b9e63de1b9502e46b,Team VARREL,1,master,en
3,True,0,1,3286,3,847985,36,37,2405,4,21138,795722,0,False,2,85,2,True,False,1776438152,6a9407dd753b4d7ea15b26d3a63a0fc3,Usagiya,True,6,1,2,3,1,1,False,False,1,40078,False,1,False,False,40117,False,1,False,False,USGYがる,5,1484322763,2,5931713,False,0,,0,0,0,0,0,1,0,0,False,,8,tako956402,5,3188331272,Steam,steam,15,0,14,30,21,6,10178,Kimberly,kimberly,10178,1,銅,7111,7111-6ee6fbd54c49928648ce45bbc1bd6e,Somethin' Wrong?,Japan,0,36,37,4,4,10178,2405,Kimberly,kimberly,10178,1,銅,7111,7111-6ee6fbd54c49928648ce45bbc1bd6e,Somethin' Wrong?,1,master,en
28,True,0,1,12826,25,197058,36,37,2315,51,30,43403,0,False,2,85,2,True,False,1776438474,5de2845573644b4a8a423c350d2e62bb,Ryukichi1mon,True,30,19,2,4,1,5,True,False,1,40022,False,7,False,False,40001,True,1,True,True,世界無二Ryukichi,5,3720691244,2,5154885,False,0,,0,0,0,0,0,1,0,0,False,,1,世界無二Ryukichi,5,3720691244,Steam,steam,16,30,16,0,1,0,10001,Sagat,sagat,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,Japan,0,36,37,5,5,11193,2402,Mai,mai,11193,6,SPECIAL,487,487-c0519b411b6de13f2b1658e14ec34e,Team FAV,1,master,en
5,True,0,1,27256,10,632361,36,37,2181,479,15725,196294,410,False,2,85,2,True,False,1776350987,778c7fc54d18438db98fe72c2fbc9100,BoyReturns,True,6,3,1,17,2,6,False,True,1,40054,False,9,False,False,40085,False,1,False,False,chama,2,1485372879,2,7654464,False,0,,0,0,0,0,0,1,0,0,False,,1,あくたがわ,5,3708958378,Steam,steam,14,0,13,30,2,0,10001,Ken,ken,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,Japan,0,36,37,6,6,11076,2401,Manon,manon,11076,6,SPECIAL,413,413-60a129124bd75ad617739305f87e55,<span style='color: #ffd700;'>Legendary Pinnacle</span>,1,master,en
18,True,0,1,14791,18,789176,36,37,2401,6,22345,502344,0,False,2,85,2,True,False,1776446017,46fa7629b08a40acb29a7a6707b14f9f,Guilevillage,True,10,5,2,1,1,1,False,False,35002,40115,False,9,False,False,40006,False,9,False,False,ひぐち！,5,3550331968,8,4728637,False,0,,0,0,0,0,0,1,0,0,False,,1,ひぐち！,5,3550331968,Steam,steam,11,30,11,0,23,18,10901,Guile,guile,10901,6,SPECIAL,308,308-912e7acca8469eb7044f0390dc8b6e,Strongest Teacher & Pupil!,Japan,0,36,37,6,6,10901,2401,Guile,guile,10901,6,SPECIAL,308,308-912e7acca8469eb7044f0390dc8b6e,Strongest Teacher & Pupil!,1,master,en
30,True,0,1,34072,28,311148,36,37,2205,325,40,72343,0,False,2,85,2,False,False,1776355289,4d323fd3dc1d46f4a75725c6bc8ed703,KawagoeMagmax,True,6,4,1,3,15,7,False,False,1,40125,False,1,False,False,40001,False,1,False,False,コーヴァス帝国の女騎士,5,3488945011,2,6092420,False,0,,0,0,0,0,0,1,0,0,False,,1,Kazunoko,5,2626960876,Steam,steam,14,30,13,0,1,0,10001,Mai,mai,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,Japan,0,36,37,8,8,10962,2397,C. Viper,cviper,10962,6,SPECIAL,344,344-c32d741283a54517cf0343ba1306fe,Kazunoko Nokonoko Koshitantan,1,master,en
18,True,0,1,3825,1,130731,36,0,0,0,0,29332,0,False,2,999,2,True,False,1776444988,b04d96d9e36a408185af8220fd7be6e8,UgangHater,True,6,1,2,1,1,1,False,False,35002,40074,True,20,False,False,40074,False,1,True,True,TPBE | Hope,5,3312074554,2,5936186,False,0,,0,0,0,0,0,1,0,0,False,,1,RaInPrO,5,3003894460,Steam,steam,13,30,12,30,1,0,10001,Ryu,ryu,10001,1,銅,122,122-8bb65d811510d0e60b605476864239,Let's Do This,Other,0,36,37,9,9,10809,2380,Guile,guile,10809,5,グレード5,237,237-c1fa1787b875c58f43f25915356e38,Phase 2 Legend!,1,master,en
25,True,0,1,9291,25,354734,36,37,2376,10,0,78957,0,False,2,85,2,True,False,1776450595,5584362f0b084505bf66f754c578c4d0,TAKAGIdojo,True,12,1,1,8,3,1,False,False,1,40163,False,5,False,False,40098,False,13,False,False,高木サンダー,5,3249813921,2,3798562,False,0,,0,0,0,0,0,1,0,0,False,,1,hinao,5,2399060619,Steam,steam,17,30,15,30,1,0,11204,Sagat,sagat,11204,6,SPECIAL,498,498-31c5fc24d8a23e808e0cb05e414901,Team REJECT,Japan,0,36,37,10,10,11204,2376,Sagat,sagat,11204,6,SPECIAL,498,498-31c5fc24d8a23e808e0cb05e414901,Team REJECT,1,master,en
