feature,n,correlation,slope,intercept,r_squared
ランクマッチプレイ回数,390,0.4689208140301355,0.020004108058644783,893.7938504776523,0.21988672983068494
累計プレイポイント,390,0.46772511358253915,0.0006088277192761345,835.9957508829391,0.21876678187579915
ドライブインパクト_受けた回数,390,-0.34135014440891587,-1486.4813132810034,1780.6649488971536,0.11651992108798771
パニッシュカウンターを受けた回数,390,-0.28971685936891833,-1784.278584131719,1650.795249842235,0.0839358586025896
相手を追い詰めている時間,390,0.25600151418231637,64.24184071188641,627.6426643028337,0.06553677526363873
ジャストパリィ回数,390,0.2514500957152131,675.3921262660763,986.2676606861091,0.06322715063518983
相手のドライブインパクトに決めた回数,390,-0.24062754222676214,-2326.295601692599,1508.373248263578,0.057901614078092196
ルームマッチプレイ回数,390,0.24040003620606698,0.03149028825861051,1147.9052711406785,0.057792177407878315
CA,390,-0.2270504244470104,-25.608384944969075,1601.4933903049784,0.05155189524156758
パニッシュカウンターを決めた回数,390,-0.21360246666264912,-1208.0551783750311,1553.1588200574747,0.04562601376436813
ドライブインパクト,390,-0.19823505894112126,-63.30907138143199,1499.2304912046695,0.03929713859338982
ダメージ,390,-0.1814196337592467,-23.62598620541663,1891.4987107865425,0.0329130835133392
ドライブインパクト_決めた回数,390,-0.17880553310265904,-672.9036146126834,1522.9382669680867,0.0319714186681261
相手にドライブインパクトで返された回数,390,-0.1625253768680821,-1602.2471359551553,1392.6609010103782,0.02641449812611212
相手のドライブパリィを投げた,390,0.15454367608858757,1002.2050716648291,1053.2290730217962,0.023883747818974274
Lv2,390,0.12682016891787878,6.199975452190655,1147.2156511941928,0.016083355244359308
キャンセルドライブラッシュ,390,0.12332727298559046,7.848050566330849,1048.00014881826,0.01520961626206235
Lv3,390,-0.1174459554377158,-6.472503006055856,1512.6614107308324,0.013793552448677925
投げ_決めた回数,390,0.10131174798606338,106.2337928713857,1038.789481532646,0.010264070279991617
バトルハブマッチプレイ回数,390,0.09604801410890512,0.025196165681372444,1256.2729307870666,0.009225221014264437
カジュアルマッチプレイ回数,390,-0.09520465131939122,-0.0330733310349786,1316.6769607293386,0.00906392563284686
投げ_受けた回数,390,-0.08751933572784103,-135.79341158924097,1594.1093085625453,0.0076596341262425505
Lv1,390,0.08026695424458472,4.155937593081803,1161.1823843197246,0.006442783943702257
自分のドライブパリィを投げられた,390,0.07456251751763768,479.8476546839503,1191.3534678604838,0.005559569018568026
相手に追い詰められている時間,390,0.06186452429944391,20.44837519844126,1102.0191275310297,0.003827219366796486
スタンさせた回数,390,0.05987428983434559,752.8865930071264,1229.741713301765,0.0035849305831672194
パリィドライブラッシュ,390,0.053248653953202114,13.317130469427218,1199.0831298379733,0.002835419147827867
ドライブパリィ,390,0.038155574779602096,7.237623524161942,1197.5454787020458,0.0014558478867618076
ドライブリバーサル,390,-0.035241217080021654,-13.852880421397149,1309.830101568037,0.00124194338128121
投げ抜け回数,390,-0.02550992172179776,-66.80550407453104,1320.3426381827537,0.0006507561062522491
オーバードライブアーツ,390,-0.019654244700838878,-1.5493136737684954,1317.982314433324,0.0003862893347604531
使用回数,390,-0.014256791162160828,-44.83730857265387,1296.101868520393,0.00020325609424146708
スタンさせられた回数,390,-0.013303500584946528,-188.72362012986986,1298.2067775974026,0.00017698312781367262
成功回数,390,-0.007836121075816655,-7.494570304901342,1300.3538426247599,6.140479351485797e-05
